,data
0,2.79841730751778
1,5.425825133110914
2,7.7263304987215164
3,9.57281932249292
4,10.877852522924732
5,11.600753640762655
6,11.750217399632628
7,11.382205516482518
8,10.593355496534933
9,9.510565162951533
10,8.277787535412147
11,7.041341022820346
12,5.935182312407974
13,5.067589925811117
14,4.510565162951533
15,4.292987943184428
16,4.398194283145414
17,4.766206166295531
18,5.300386087412158
19,5.877852522924738
20,6.362621712891894
21,6.620171788309147
22,6.531983843523281
23,6.008614917118802
24,4.999999999999983
25,3.5019502458327
26,1.5581861002261546
27,-0.7423192653844541
28,-3.272451769142468
29,-5.877852522924785
30,-8.390556031161672
31,-10.644058689220303
32,-12.488364226894923
33,-13.803553106135983
34,-14.510565162951544
35,-14.578155088762646
36,-14.02535225615743
37,-12.919193545745046
38,-11.367957479161579
39,-9.510565162951483
40,-7.503185552785395
41,-5.504352993557723
42,-3.6600474558830998
43,-2.090188477811073
44,-0.8778525229246972
45,-0.0622541595413626
46,0.3638394450279656
47,0.45202738981380763
48,0.29175263623167824
49,-1.7151244994428816e-14
50,-0.29175263623170733
51,-0.45202738981382895
52,-0.3638394450279483
53,0.062254159541407006
54,0.8778525229247727
55,2.0901884778111786
56,3.6600474558832348
57,5.5043529935578706
58,7.503185552785555
59,9.510565162951622
60,11.367957479161705
61,12.919193545745154
62,14.025352256157483
63,14.578155088762664
64,14.51056516295152
65,13.803553106135915
66,12.488364226894817
67,10.644058689220174
68,8.39055603116151
69,5.877852522924607
70,3.272451769142291
71,0.742319265384296
72,-1.5581861002262958
73,-3.501950245832808
74,-5.0000000000000675
75,-6.008614917118844
76,-6.531983843523299
77,-6.620171788309136
78,-6.362621712891866
79,-5.8778525229247025
80,-5.300386087412118
81,-4.766206166295489
82,-4.3981942831453935
83,-4.292987943184428
84,-4.510565162951556
85,-5.067589925811166
86,-5.9351823124080365
87,-7.041341022820427
88,-8.277787535412239
89,-9.510565162951611
90,-10.593355496535004
91,-11.382205516482552
92,-11.750217399632643
93,-11.600753640762626
94,-10.877852522924663
95,-9.572819322492816
96,-7.726330498721371
97,-5.42582513311074
98,-2.7984173075175853
99,2.0214099953570387e-13
100,2.798417307517994
101,5.425825133111093
102,7.7263304987216825
103,9.572819322493043
104,10.877852522924814
105,11.600753640762687
106,11.750217399632621
107,11.382205516482458
108,10.593355496534834
109,9.510565162951451
110,8.277787535412047
111,7.041341022820246
112,5.935182312407889
113,5.067589925811053
114,4.5105651629515044
115,4.292987943184423
116,4.398194283145442
117,4.766206166295577
118,5.300386087412224
119,5.877852522924771
120,6.362621712891929
121,6.620171788309172
122,6.5319838435232676
123,6.008614917118757
124,4.9999999999999
125,3.501950245832597
126,1.5581861002260151
127,-0.7423192653846296
128,-3.2724517691426462
129,-5.8778525229249645
130,-8.390556031161811
131,-10.644058689220444
132,-12.488364226895033
133,-13.803553106136055
134,-14.510565162951567
