,data
0,7.912426834933708
1,7.659819732708761
2,7.271126764644645
3,6.790158964523541
4,6.269590500947337
5,5.763771988783704
6,5.321362972099543
7,4.97881415056475
8,4.7556097859344
9,4.651932800018104
10,4.649074192122882
11,4.7125224482061165
12,4.797291800500819
13,4.854733454076917
14,4.83986543506631
15,4.718183814827838
16,4.470990964781461
17,4.098484958378339
18,3.6201689789735876
19,3.072516405844369
20,2.504213206347134
21,1.9696401456318797
22,1.5215052505320328
23,1.2036570996249283
24,1.0450849718747364
25,1.0559461047219698
26,1.2261765581564448
27,1.526880291715666
28,1.914301847503874
29,2.3358261427321136
30,2.7371651209522976
31,3.069725229610512
32,3.297125151961608
33,3.399953356763268
34,3.3781029543685
35,3.250362231259218
36,3.051325190814689
37,2.826063241584237
38,2.623313916633389
39,2.4881509692699293
40,2.4551730909090477
41,2.5431755963849767
42,2.7520609602801827
43,3.0624293455443024
44,3.437913452200318
45,3.829936058185361
46,4.184227740950589
47,4.448194343244933
48,4.578103611132141
49,4.545084971874735
50,4.339102200867082
51,3.9703424811281476
52,3.4678272484601878
53,2.8754394292272996
54,2.2459235673035542
55,1.6336990910685352
56,1.0874927528766936
57,0.6438208130109124
58,0.3222314047552237
59,0.12296959202151014
60,0.027386747542124334
61,0.0010299238896667173
62,-0.0010299238896659957
63,-0.027386747542126555
64,-0.12296959202152058
65,-0.3222314047552396
66,-0.643820813010936
67,-1.0874927528767242
68,-1.6336990910685731
69,-2.245923567303593
70,-2.875439429227337
71,-3.4678272484602224
72,-3.9703424811281756
73,-4.339102200867099
74,-4.545084971874742
75,-4.578103611132138
76,-4.448194343244918
77,-4.184227740950566
78,-3.829936058185339
79,-3.437913452200293
80,-3.0624293455442784
81,-2.752060960280167
82,-2.543175596384965
83,-2.455173090909047
84,-2.4881509692699324
85,-2.623313916633405
86,-2.8260632415842495
87,-3.051325190814702
88,-3.2503622312592273
89,-3.3781029543685053
90,-3.3999533567632643
91,-3.297125151961597
92,-3.0697252296104947
93,-2.7371651209522736
94,-2.3358261427320857
95,-1.914301847503846
96,-1.5268802917156463
97,-1.226176558156428
98,-1.0559461047219645
99,-1.0450849718747426
100,-1.2036570996249456
101,-1.5215052505320592
102,-1.969640145631919
103,-2.504213206347174
104,-3.072516405844407
