,data
0,(2.5579538487363607e-13+0j)
1,(1.0289443778788154e-05-0.003271945634669038j)
2,(4.2021131847036486e-05-0.006681094926252129j)
3,(9.791495178035348e-05-0.010378402027988898j)
4,(0.00018296839976983392-0.014544835273071488j)
5,(0.0003052754312449224-0.019413403065591694j)
6,(0.00047746521123315233-0.02530198279904816j)
7,(0.0007191910291624026-0.0326656781785033j)
8,(0.0010615079616655976-0.04218492159445808j)
9,(0.0015548318946656536-0.054921268949513546j)
10,(0.002284071685608069-0.07260761131587401j)
11,(0.003399047522265164-0.09822157433220013j)
12,(0.005179969645624283-0.13720039463511302j)
13,(0.008190905405882631-0.2002452086028299j)
14,(0.013680677700477872-0.3105377945536567j)
15,(0.024792000417193094-0.525186606676499j)
16,(0.05102460644201301-1.0132312637865795j)
17,(0.1307685944340733-2.443746381714817j)
18,(0.5381624715557791-9.497128698742301j)
19,(-76.84123276740843+1284.5147263713616j)
20,(156.77864668350486-2489.426731159985j)
21,(-79.98409318171525+1209.3943979243313j)
22,(-0.49975067901488046+7.211948920104916j)
23,(-0.12498395527424577+1.7249788873768068j)
24,(-0.04921220414803429+0.6508058859987571j)
25,(-0.023916851310190168+0.3035872630396028j)
26,(-0.013079360595156686+0.15960977458485104j)
27,(-0.007650224605299627+0.08988363290301038j)
28,(-0.00460648197687874+0.05217981378651615j)
29,(-0.002736559629909152+0.02992376172716149j)
30,(-0.0014868793998559227+0.01571371790792142j)
31,(-0.000576446674131148+0.005894326672944317j)
32,(0.00015203842451683158-0.0015057384200183321j)
33,(0.0007968553737853767-0.007651000023141563j)
34,(0.001428756556862254-0.013311761803027622j)
35,(0.002108767520120125-0.019081721370461935j)
36,(0.0029009120552245804-0.02551447943434937j)
37,(0.003884768022569318-0.0332363145510719j)
38,(0.005172223303546275-0.0430759724828107j)
39,(0.006934711171260544-0.05625928348039366j)
40,(0.00945291105463042-0.07475187447252019j)
41,(0.013215247235187633-0.1019274353130406j)
42,(0.01912898557073106-0.14398675132132954j)
43,(0.029014726005790692-0.21325891290267407j)
44,(0.04690009038110077-0.336784834914039j)
45,(0.08293460380201623-0.5821383292357325j)
46,(0.16792641187039692-1.152743221129704j)
47,(0.42755052267663984-2.871616904500911j)
48,(1.7820684505738313-11.716088046560927j)
49,(-103.07026094533455+663.584734970793j)
50,(195.03161672528023-1230.1292829267509j)
51,(-92.32792511991215+570.7321332443441j)
52,(-1.4830119838105702+8.987966776256172j)
53,(-0.38352440702374224+2.2797384446120432j)
54,(-0.15520610895525522+0.9051648984944194j)
55,(-0.077936629759634+0.4461011784882061j)
56,(-0.044555364994167235+0.2503832183020158j)
57,(-0.0277889968659224+0.15336528375423342j)
58,(-0.018451243531046657+0.10003673539354807j)
59,(-0.012842448389541516+0.06842069721525945j)
60,(-0.009272958618872451+0.04856076945242549j)
61,(-0.006895071058394819+0.03550186759636986j)
62,(-0.005251202632685192+0.02659072399987039j)
63,(-0.004079410946637552+0.020320657150602273j)
64,(-0.003222333084949014+0.0157937783361497j)
65,(-0.0025815348752544764+0.012452941066385392j)
66,(-0.0020932922325656023+0.009940354976251342j)
67,(-0.001715113806675106+0.008019360572610879j)
68,(-0.001417927961767873+0.006529342394557602j)
69,(-0.0011813900357857676+0.005358804760170699j)
70,(-0.0009909748950462927+0.004428787157557679j)
71,(-0.0008361256632340996+0.003682364840891239j)
72,(-0.0007090458290157642+0.003077838021514623j)
73,(-0.000603893684615997+0.002584216211158008j)
74,(-0.000516234572636165+0.002178164932967519j)
75,(-0.0004426615219337293+0.0018419040206616444j)
76,(-0.00038052843332181396+0.001561737382566264j)
77,(-0.0003277594519346394+0.0013270090484560626j)
78,(-0.0002827109973857489+0.0011293518581467765j)
79,(-0.00024407059431652556+0.000962139866430789j)
80,(-0.00021078187759115963+0.0008200846281951613j)
81,(-0.00018198833916471813+0.0006989343044203622j)
82,(-0.00015699077171227316+0.0005952472146404375j)
83,(-0.00013521471374211558+0.0005062197783978206j)
84,(-0.0001161853829767523+0.0004295546771260206j)
85,(-9.95081633430317e-05+0.00036335897069150747j)
86,(-8.485336925190268e-05+0.00030606480406092373j)
87,(-7.194415934286269e-05+0.00025636725248290304j)
88,(-6.05470257379892e-05+0.00021317520937458312j)
89,(-5.0464108639403094e-05+0.00017557242295751507j)
90,(-4.152708726756771e-05+0.00014278632118447376j)
91,(-3.359218929688268e-05+0.0001141629712471115j)
92,(-2.653615315395541e-05+8.914685547978252e-05j)
93,(-2.025294429941482e-05+6.726442056859128e-05j)
94,(-1.4651027463230548e-05+4.811067583432305e-05j)
95,(-9.651141643196581e-06+3.1338207953979236e-05j)
96,(-5.184438139238523e-06+1.6648078364767116e-05j)
97,(-1.1909479349370145e-06+3.7823914382784096e-06j)
98,(2.3817025009975623e-06-7.481947264409428e-06j)
99,(5.579395424781808e-06-1.7338423855761675e-05j)
100,(8.442387329665735e-06-2.595521946702206e-05j)
101,(1.1006125838264325e-05-3.347887238547287e-05j)
102,(1.3301868460935395e-05-4.0037331718423275e-05j)
103,(1.5357243422720046e-05-4.5742544759974635e-05j)
104,(1.7196724096280036e-05-5.069264732426859e-05j)
105,(1.8842027892151947e-05-5.497382095143166e-05j)
106,(2.031247233436062e-05-5.866190623748935e-05j)
107,(2.1625265600011545e-05-6.182372510465939e-05j)
108,(2.279575357366781e-05-6.451826421383089e-05j)
109,(2.383766837765755e-05-6.679767429140782e-05j)
110,(2.4763292258755953e-05-6.870811837167423e-05j)
111,(2.5583655446359543e-05-7.029051588780533e-05j)
112,(2.6308638614969126e-05-7.158119504424576e-05j)
113,(2.6947147129696702e-05-7.261243402645334e-05j)
114,(2.7507201799559233e-05-7.341296038987366e-05j)
115,(2.799601206593394e-05-7.400834860682437e-05j)
116,(2.8420121501948614e-05-7.442141857971762e-05j)
117,(2.8785402157005535e-05-7.467251122506013e-05j)
118,(2.90972009144852e-05-7.477981164605296e-05j)
119,(2.936035195477693e-05-7.475957240288267e-05j)
120,(2.957924142554802e-05-7.462633482013814e-05j)
121,(2.975783227965323e-05-7.439310535772847e-05j)
122,(2.9899757934437332e-05-7.407155210792382e-05j)
123,(3.0008295911709837e-05-7.367212352882291e-05j)
124,(3.0086443254084827e-05-7.320419022072144e-05j)
125,(3.013692570874582e-05-7.267615938566507e-05j)
126,(3.0162229407437735e-05-7.209557673704126e-05j)
127,(3.0164617593531062e-05-7.146921524103789e-05j)
