,data
0,(-1999.99999998545+0j)
1,(1.8189894035458565e-12-7.275957614183426e-12j)
2,(-2136.662166612876+11950.80813351595j)
3,(3.637978807091713e-12+1.4551915228366852e-11j)
4,(-2609.122803735834+26632.36075051784j)
5,(-1.0913936421275139e-11+0j)
6,(-3693.0031050540056+49345.51474281407j)
7,(-3.637978807091713e-12-1.4551915228366852e-11j)
8,(-6488.2734064255965+98106.4199696842j)
9,(-2.1827872842550278e-11-1.4551915228366852e-11j)
10,(-21035.0884756109+332828.48504452093j)
11,-3.601599019020796e-10j
12,(23027.003874005153-364620.6187809678j)
13,(3.637978807091713e-11+1.4551915228366852e-11j)
14,(8446.457093928806-130434.70389777668j)
15,(9.094947017729282e-12-7.275957614183426e-12j)
16,(5580.195867989953-82802.16710494133j)
17,(-1.0550138540565968e-10+7.275957614183426e-12j)
18,(4380.037318681327-61937.20293971365j)
19,(-3.2741809263825417e-11-1.4551915228366852e-11j)
20,(3730.9953032313324-50062.33095913046j)
21,(3.637978807091713e-12-5.4569682106375694e-11j)
22,(3329.8258725978258-42315.745394899626j)
23,(1.546140993013978e-11+2.7284841053187847e-11j)
24,(3060.4063534570305-36819.42082613401j)
25,(-1.3733369996771216e-10+2.9103830456733704e-11j)
26,(2868.8684618357274-32691.822600538595j)
27,(-7.73070496506989e-11-1.9099388737231493e-11j)
28,(2726.905156233188-29462.894790107443j)
29,(-8.230927051045e-11+3.092281986027956e-11j)
30,(2618.2712051217773-26858.225926789368j)
31,(1.0231815394945443e-10-6.275513442233205e-11j)
32,(2533.009367611654-24706.363404535405j)
33,(1.7689671949483454e-10+1.000444171950221e-10j)
34,(2464.696330362066-22894.36909717098j)
35,(1.3642420526593924e-11-2.3646862246096134e-11j)
36,(2409.0153288459496-21344.633033745657j)
37,(-5.638867150992155e-11+1.227817847393453e-10j)
38,(2362.9662901711745-20001.942341230857j)
39,(3.637978807091713e-11-7.09405867382884e-11j)
40,(2324.4049282024876-18825.867354893235j)
41,(1.5552359400317073e-10-4.4565240386873484e-11j)
42,(2291.7617092901496-17786.071901301955j)
43,(-2.546585164964199e-11-1.6825651982799172e-11j)
44,(2263.8640317519867-16859.312728956287j)
45,(-4.979483492206782e-11-2.4556356947869062e-11j)
46,(2239.8200975137643-16027.4561799888j)
47,(1.850821718107909e-10+9.094947017729282e-12j)
48,(2218.9409701670297-15276.129787980159j)
49,(1.8485479813534766e-10+3.8198777474462986e-11j)
50,(2200.6869975954323-14593.782690270455j)
51,(2.1668711269740015e-10-5.4569682106375694e-11j)
52,(2184.6301987048264-13971.01654447861j)
53,(1.2869350030086935e-10-6.002665031701326e-11j)
54,(2170.4273585578194-13400.099801629693j)
55,(-3.1741365091875196e-10+6.643858796451241e-10j)
56,(2157.800458129092-12874.608963367536j)
57,(2.2805579646956176e-10+9.449649951420724e-10j)
58,(2146.5222228279026-12389.159492242345j)
59,(-3.842615114990622e-11-5.229594535194337e-12j)
60,(2136.4053041873403-11939.20112697993j)
61,(1.566604623803869e-10+1.77351466845721e-11j)
62,(2127.294080050279-11520.860198324586j)
63,(1.5234036254696548e-11+3.774403012357652e-11j)
64,(2119.0583684672238-11130.816738661619j)
65,(4.501998773775995e-11-3.9108272176235914e-11j)
66,(2111.588558154607-10766.207687968023j)
67,(1.8167156667914242e-10-2.326032699784264e-10j)
68,(2104.7917998967055-10424.549908910563j)
69,(-2.3442225938197225e-10+2.6830093702301383e-11j)
70,(2098.589001155199-10103.67840556503j)
71,(-1.8349055608268827e-10+3.617515176301822e-10j)
72,(2092.9124348922355-9801.696330505987j)
73,(-1.4097167877480388e-11+0j)
74,(2087.7038224414177-9516.934218904902j)
75,(-1.3869794202037156e-10-7.298694981727749e-11j)
76,(2082.91278542704-9247.91650834979j)
77,(2.1032064978498966e-10-1.7757884052116424e-10j)
78,(2078.4955873148565-8993.333858675785j)
79,(-3.346940502524376e-10-1.7325874068774283e-10j)
80,(2074.414103972129-8752.020124330586j)
81,(-3.0331648304127157e-10+1.7280399333685637e-11j)
82,(2070.634976604858-8522.933085493576j)
83,(-1.000444171950221e-10-1.750777300912887e-11j)
84,(2067.128910889904-8305.138236186944j)
85,(-6.59383658785373e-12-1.7644197214394808e-10j)
86,(2063.870094034408-8097.79507425974j)
87,(1.502939994679764e-10+1.9099388737231493e-10j)
88,(2060.835707522274-7900.1454510368585j)
89,(-2.955857780762017e-11+9.708855941426009e-11j)
90,(2058.005517946075-7711.503626031659j)
91,(-1.000444171950221e-10+2.1873347577638924e-10j)
92,(2055.36153187852-7531.247740572832j)
93,(-5.366018740460277e-10-9.185896487906575e-11j)
94,(2052.887703532604-7358.812478118704j)
95,(2.7489477361086756e-10+1.114131009671837e-09j)
96,(2050.5696861676297-7193.682721652208j)
97,(1.8849277694243938e-10+2.28283170145005e-10j)
98,(2048.394619864232-7035.388052655046j)
99,(-7.366907084360719e-11+2.1327650756575167e-10j)
100,(2046.3509497120176-6883.497963347087j)
101,(-3.9244696381501853e-10-7.121343514882028e-10j)
102,(2044.4282694971994-6737.6176759226j)
103,(-3.1536728783976287e-10+1.8189894035458565e-12j)
104,(2042.6171868848992-6597.38448029565j)
105,(-1.8280843505635858e-10+1.716671249596402e-10j)
106,(2040.9092067596127-6462.464516413615j)
107,(-3.5129232855979353e-10-3.647073754109442e-10j)
108,(2039.296629982955-6332.549939030128j)
109,(7.412381819449365e-11-1.5302248357329518e-10j)
110,(2037.772465271601-6207.356412642214j)
111,(3.424247552175075e-10+2.601154847070575e-10j)
112,(2036.3303522841557-6086.620892315075j)
113,(-2.1373125491663814e-10-1.2289547157706693e-09j)
114,(2034.9644943076469-5970.099652839691j)
115,(-3.2719071896281093e-10-1.5052137314341962e-10j)
116,(2033.6695992072096-5857.566534207254j)
117,(2.6147972675971687e-11-3.637978807091713e-12j)
118,(2032.4408274784564-5748.811376047242j)
119,(-1.6291323845507577e-10+1.1254996934439987e-10j)
120,(2031.2737464560942-5643.638617588792j)
121,(-7.844391802791506e-12-1.9667822925839573e-10j)
122,(2030.1642898490989-5541.866042957859j)
123,(-1.807620719773695e-11+1.0959411156363785e-10j)
124,(2029.1087219064655-5443.32365442924j)
125,(1.864464138634503e-11-1.5620571502950042e-10j)
126,(2028.10360561451-5347.852658587032j)
127,(2.4635937734274194e-10-1.5731984603917226e-09j)
128,(2027.1457744157344-5255.304552334273j)
129,(7.524931788793765e-10-1.064108801074326e-10j)
130,(2026.2323070132802-5165.540297423496j)
131,(5.411493475548923e-11-2.0372681319713593e-10j)
132,(2025.360504873372-5078.429573601549j)
133,(-3.7141489883651957e-10-1.5688783605583012e-11j)
134,(2024.5278721026743-4993.850101744356j)
135,(1.7701040633255616e-10+7.410108082694933e-10j)
136,(2023.7320974260724-4911.687029402895j)
137,(2.7637270250124857e-10-1.2710188457276672e-10j)
138,(2022.9710380045576-4831.832372114466j)
139,(-3.637978807091713e-11+2.8194335754960775e-11j)
140,(2022.242704889826-4754.184504650547j)
141,(-5.468336894409731e-11+9.072209650184959e-11j)
142,(2021.545249927121-4678.647697030447j)
143,(1.199396137963049e-10-2.59660737356171e-10j)
144,(2020.8769539367988-4605.131690770282j)
145,(4.291678123991005e-10+1.9167600839864463e-10j)
146,(2020.2362160503712-4533.55131131804j)
147,(-1.554099071654491e-10-4.5702108764089644e-11j)
148,(2019.6215440509402-4463.826113118724j)
149,(7.137259672163054e-10-3.119566827081144e-10j)
150,(2019.0315456307312-4395.880054142536j)
151,(1.3130829756846651e-10-1.0368239600211382e-10j)
152,(2018.46492045858-4329.641197020803j)
153,(6.483560355263762e-10-1.850821718107909e-10j)
154,(2017.9204529708318-4265.041434316994j)
155,(-4.77882622362813e-10-5.4569682106375694e-12j)
156,(2017.3970058166879-4202.016235636725j)
157,(2.80977019428974e-10-2.7466739993542433e-10j)
158,(2016.8935138879633-4140.504414619397j)
159,(2.438014234940056e-10-5.161382432561368e-11j)
160,(2016.4089788734984-4080.4479139514397j)
161,(-7.752305464236997e-10+4.638422979041934e-11j)
162,(2015.9424642887216-4021.7916068364916j)
163,(5.669562597176991e-10-9.231371222995222e-11j)
164,(2015.4930909276186-3964.4831134342026j)
165,(-4.706635081674904e-10+1.1573320080060512e-10j)
166,(2015.0600327118436-3908.4726309833113j)
167,(-3.292370820418e-10-8.628830983070657e-10j)
168,(2014.6425128730584-3853.712776408479j)
169,(-8.051870281633455e-10-1.382431946694851e-10j)
170,(2014.2398004594995-3800.1584403820116j)
171,(-5.659899215970654e-10-2.6147972675971687e-10j)
172,(2013.8512071302243-3747.766651830804j)
173,(-5.705942385247909e-10-2.482920535840094e-10j)
174,(2013.4760842059247-3696.49645207833j)
175,(-7.923972589196637e-10-2.0579591364366934e-09j)
176,(2013.1138199480915-3646.308777766001j)
177,(4.317826096666977e-10+1.6189005691558123e-10j)
178,(2012.76383706842-3597.166351915815j)
179,(3.4560798667371273e-10-2.667093212949112e-10j)
180,(2012.4255904245385-3549.033582416225j)
181,(7.015614755800925e-10+1.5575096767861396e-10j)
182,(2012.0985648839535-3501.876467382652j)
183,(-7.512426236644387e-10+1.1550582712516189e-10j)
184,(2011.7822733745993-3455.662506851185j)
185,(-1.9622348190750927e-10-1.000444171950221e-11j)
186,(2011.476255060335-3410.360620285899j)
187,(-5.910578693146817e-10-7.669314072700217e-10j)
188,(2011.1800736653372-3365.9410695095803j)
189,(2.2782842279411852e-10-1.1186784831807017e-10j)
190,(2010.8933159204453-3322.3753865857643j)
191,(1.497255652793683e-10-1.5302248357329518e-10j)
192,(2010.6155901147722-3279.636306329768j)
193,(-1.6791545931482688e-10+6.366462912410498e-11j)
194,(2010.346524768559-3237.697703083255j)
195,(-8.126903594529722e-10+7.664766599191353e-10j)
196,(2010.085767383676-3196.534531441155j)
197,(1.5459136193385348e-09+8.933511708164588e-10j)
198,(2009.8329832948493-3156.122770652968j)
199,(-9.522409527562559e-10+3.1468516681343317e-10j)
200,(2009.5878545990035-3116.4393724359215j)
201,(3.866489350912161e-10-5.661604518536478e-10j)
202,(2009.3500791505198-3077.462211916062j)
203,(3.9523229133919813e-10-5.152287485543638e-10j)
204,(2009.1193696451603-3039.1700415930372j)
205,(-2.3078428057488054e-11-5.5706550483591855e-11j)
206,(2008.8954527364813-3001.54244794745j)
207,(-1.1539214028744027e-10+2.462456905050203e-10j)
208,(2008.6780682533795-2964.5598106480606j)
209,(-8.723191058379598e-10+2.2282620193436742e-11j)
210,(2008.4669684154069-2928.2032641528112j)
211,(-6.298250809777528e-10-4.49745130026713e-10j)
212,(2008.261917158477-2892.4546614758965j)
213,(1.3164935808163136e-10+3.5356606531422585e-10j)
214,(2008.0626894606314-2857.2965400588314j)
215,(4.4093440010328777e-10+1.3164935808163136e-10j)
216,(2007.8690707345713-2822.7120895578782j)
217,(4.409912435221486e-10+5.638867150992155e-11j)
218,(2007.6808562488181-2788.6851214444227j)
219,(7.09405867382884e-11+5.35010258317925e-10j)
220,(2007.4978505942704-2755.200040280595j)
221,(4.945377440890297e-11+4.888534022029489e-11j)
222,(2007.3198671731893-2722.2418165816516j)
223,(7.308926797122695e-10+1.5711520973127335e-10j)
224,(2007.1467277325792-2689.7959611612264j)
225,(2.721662895055488e-10-6.766640581190586e-10j)
226,(2006.978261920587-2657.8485008468188j)
227,(4.887397153652273e-10+2.332853910047561e-10j)
228,(2006.8143068641448-2626.3859555078297j)
229,(2.9388047551037744e-10-2.31239027925767e-10j)
230,(2006.654706782634-2595.3953162920093j)
231,(-8.531060302630067e-10+1.8917489796876907e-10j)
232,(2006.4993126294355-2564.8640250114586j)
233,(3.5129232855979353e-10+1.020907802740112e-10j)
234,(2006.3479817241064-2534.779954593717j)
235,(-7.332801033044234e-11-1.6848389350343496e-10j)
236,(2006.200577452631-2505.1313905515817j)
237,(2.4556356947869062e-11-5.813944881083444e-10j)
238,(2006.0569689477734-2475.907013394155j)
239,(9.129053069045767e-11-2.180968294851482e-09j)
240,(2005.917030802999-2447.095881929643j)
241,(-1.7014372133417055e-09-2.0258994481991976e-09j)
242,(2005.7806428138888-2418.6874174121685j)
243,(1.0345502232667059e-11+1.4233592082746327e-10j)
244,(2005.6476896952038-2390.671388472587j)
245,(-1.9865638023475185e-09+9.98397808871232e-10j)
246,(2005.5180608708815-2363.037896803031j)
247,(-1.248849912371952e-09+3.119566827081144e-10j)
248,(2005.3916502300417-2335.7773635367994j)
249,(-5.370566213969141e-10-5.909441824769601e-10j)
250,(2005.268355908616-2308.8805162905264j)
251,(2.56704879575409e-10-7.00538294040598e-10j)
252,(2005.1480801068872-2282.3383768322665j)
253,(-1.9917933968827128e-10-3.892637323588133e-10j)
254,(2005.0307288759823-2256.142249342788j)
255,(3.0945557227823883e-10+2.94903657049872e-10j)
256,(2004.9162119474345-2230.2837092269456j)
257,(-5.468336894409731e-10+9.799805411603302e-11j)
258,(2004.8044425654537-2204.754592458223j)
259,(1.716671249596402e-10+1.1004885891452432e-10j)
260,(2004.6953373129745-2179.5469854286603j)
261,(2.269189280923456e-10-3.183231456205249e-11j)
262,(2004.588815973904-2154.653215227415j)
263,(3.2105162972584367e-10-4.861249180976301e-10j)
264,(2004.4848013760147-2130.0658404349406j)
265,(1.4329089026432484e-09-5.543597580981441e-09j)
266,(2004.3832192623652-2105.777642276763j)
267,(-1.1223164619877934e-09-6.798472895752639e-10j)
268,(2004.2839981494053-2081.7816162019276j)
269,(2.3715074348729104e-10+5.695710569852963e-10j)
270,(2004.187069215673-2058.0709638471553j)
271,(1.730313670122996e-10-6.816662789788097e-10j)
272,(2004.092366180052-2034.639085341324j)
273,(9.197265171678737e-10-1.8462742445990443e-10j)
274,(2003.9998251868071-2011.4795719606273j)
275,(4.172306944383308e-11+1.3869794202037156e-10j)
276,(2003.9093847103331-1988.5861991088623j)
277,(-5.209130904404446e-10+9.890754881780595e-12j)
278,(2003.8209854469565-1965.9529195866514j)
279,(-5.093170329928398e-10-4.297362465877086e-11j)
280,(2003.7345702017142-1943.5738571947836j)
281,(-1.3083081285003573e-09+1.3096723705530167e-10j)
282,(2003.6500838532334-1921.4433005290086j)
283,(6.536993168992922e-10+3.7698555388487875e-10j)
284,(2003.567473205832-1899.5556971438511j)
285,(-8.135430107358843e-10-3.0945557227823883e-10j)
286,(2003.4866869450757-1877.9056478861644j)
287,(1.9281287677586079e-10-2.064552973024547e-10j)
